ORF	ProteinID	LocusTag
cds3856	WP_012485052.1	RPHASCH2410_CH16540
cds3857	WP_016737126.1	RPHASCH2410_CH16545
cds3858	WP_016737127.1	RPHASCH2410_CH16550
cds3859	WP_016737128.1	RPHASCH2410_CH16555
cds3860	WP_016737129.1	RPHASCH2410_CH16560
cds3866	WP_016737135.1	RPHASCH2410_CH16590
cds3867	WP_016737136.1	RPHASCH2410_CH16595
cds3868	WP_004672369.1	RPHASCH2410_CH16600
cds3869	WP_016737137.1	RPHASCH2410_CH16605
cds3882	WP_016737146.1	RPHASCH2410_CH16675
cds3891	WP_016737156.1	RPHASCH2410_CH16730
cds3892	WP_016737157.1	RPHASCH2410_CH16735
cds3894	WP_012485090.1	RPHASCH2410_CH16745
cds3904	WP_004671619.1	RPHASCH2410_CH16795
cds3912	WP_012485106.1	RPHASCH2410_CH16835
cds3917	WP_012485109.1	RPHASCH2410_CH16860
cds3946	WP_003566413.1	RPHASCH2410_CH17010
cds3954	WP_012485142.1	RPHASCH2410_CH17055
cds3962	gbkey=CDS	RPHASCH2410_CH17100
cds3975	WP_010028538.1	RPHASCH2410_CH17165
cds3978	WP_003582204.1	RPHASCH2410_CH17180
cds3988	WP_012485171.1	RPHASCH2410_CH17230
cds3992	WP_003585771.1	RPHASCH2410_CH17250
cds4000	WP_016737223.1	RPHASCH2410_CH17295
cds4015	gbkey=CDS	RPHASCH2410_CH17370
cds4016	WP_012484605.1	RPHASCH2410_CH17375
cds4018	WP_012484607.1	RPHASCH2410_CH17385
cds4023	WP_012484610.1	RPHASCH2410_CH17405
cds4029	WP_016733674.1	RPHASCH2410_CH17430
cds4032	WP_004672775.1	RPHASCH2410_CH17445
cds4033	WP_029531415.1	RPHASCH2410_CH17450
cds4034	WP_012484619.1	RPHASCH2410_CH17455
cds4037	WP_029531418.1	RPHASCH2410_CH17470
cds4040	WP_029531419.1	RPHASCH2410_CH17485
cds4049	WP_029531422.1	RPHASCH2410_CH17530
cds4050	WP_012484631.1	RPHASCH2410_CH17535
cds4076	WP_004680140.1	RPHASCH2410_CH17670
cds4078	WP_012484653.1	RPHASCH2410_CH17685
cds4081	WP_016733709.1	RPHASCH2410_CH17700
cds4084	WP_010031314.1	RPHASCH2410_CH17715
cds4091	WP_012484665.1	RPHASCH2410_CH17750
cds4094	WP_012484668.1	RPHASCH2410_CH17765
cds4096	WP_012484670.1	RPHASCH2410_CH17780
cds4117	WP_016733591.1	RPHASCH2410_CH17880
cds4128	WP_004668803.1	RPHASCH2410_CH17940
cds4149	WP_029531397.1	RPHASCH2410_CH18045
cds4162	WP_016733612.1	RPHASCH2410_CH18105
cds4163	WP_012484523.1	RPHASCH2410_CH18110
cds4172	WP_016733618.1	RPHASCH2410_CH18155
cds4179	WP_016733622.1	RPHASCH2410_CH18190
cds4181	WP_012484539.1	RPHASCH2410_CH18200
